date,headline_link,headline_title,link,page,scraped_at,title
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/resmi-menikah-hari-ini-sherina-dan-baskara-mahendra-kompak-pamer-cincin-kawin-9e6c9f.html,11.0,2020-11-22 21:41:40.044600,"Resmi Menikah Hari Ini, Sherina dan Baskara Mahendra Kompak Pamer Cincin Kawin"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/raditya-dika-sambut-kelahiran-anak-kedua-askara-asa-nasution-3f315a.html,11.0,2020-11-22 21:41:40.111656,"Raditya Dika Sambut Kelahiran Anak Kedua, Aksara Asa Nasution"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/internasional/7-potret-kostum-halloween-kylie-jenner-yang-bikin-heboh-power-rangers---ratu-ular.html,11.0,2020-11-22 21:41:40.172484,"7 Potret Kostum Halloween Kylie Jenner yang Bikin Heboh, Power Rangers - Ratu Ular"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/sebut-taqy-malik-keras-kepala-dan-tukang-ngatur-paranormal-pernikahan-kedua-juga-tidak-bertahan-lama-33bfc2.html,11.0,2020-11-22 21:41:40.232809,"Sebut Taqy Malik Keras Kepala dan Tukang Ngatur, Paranormal: Pernikahan Kedua Juga Tidak Bertahan Lama"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/10-potret-perjuangan-melaney-ricardo-jalani-perawatan-di-rs-lawan-corona-dapat-kamar-kecil-di-pojokan-dan-jadi-rajin-baca-injil.html,11.0,2020-11-22 21:41:40.286093,"10 Potret Perjuangan Melaney Ricardo Jalani Perawatan di RS Lawan Corona, Dapat Kamar Kecil di Pojokan dan Jadi Rajin Baca Injil"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/potret-nia-ramadhani-naik-motor-di-bali-panen-kritikan-karena-tak-pakai-helm.html,11.0,2020-11-22 21:41:40.342875,"Potret Nia Ramadhani Naik Motor di Bali, Panen Kritikan Karena Tak Pakai Helm"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/congrat-artis-dan-presenter-cantik-sally-adelia-resmi-menikah-dc900f.html,11.0,2020-11-22 21:41:40.397286,Congrat! Artis dan Presenter Cantik Sally Adelia Resmi Menikah
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/kabar-bahagia-audrey-putri-mario-teguh-resmi-dilamar-sang-kekasih-e2bc66.html,11.0,2020-11-22 21:41:40.459725,Kabar Bahagia! Audrey Putri Mario Teguh Resmi Dilamar Sang Kekasih
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/diduga-kena-santet-brisia-jodie-diminta-paranormal-mbah-mijan-untuk-lakukan-hal-ini-c05f0f.html,11.0,2020-11-22 21:41:40.516852,"Diduga Kena Santet, Brisia Jodie Diminta Paranormal Mbah Mijan untuk Lakukan Hal Ini"
"Senin, 02 November 2020",,,https://www.kapanlagi.com/showbiz/hollywood/bikin-heboh-gigi-hadid-pamer-foto-perdana-lengkap-bareng-zayn-malik-dan-bayinya-085a09.html,11.0,2020-11-22 21:41:40.578422,"Bikin Heboh, Gigi Hadid Pamer Foto Perdana Lengkap Bareng Zayn Malik dan Bayinya"
